datetime,renewable_total_mwh,prediction_mwh,absolute_error,error_mwh
2025-03-29,488664.28,489634.092,23411.75546874999,-969.8119999999763
2025-03-30,921466.88,910830.007,38952.1590625,10636.873000000021
2025-03-31,533324.86,538310.7061,11800.174746093753,-4985.846099999966
2025-04-01,611487.25,593124.0428,22708.291015625,18363.207199999946
2025-04-02,846057.5,826303.126,27157.47265625,19754.373999999953
2025-04-03,648180.5,637167.8955,42545.1884765625,11012.604500000016
2025-04-04,522577.0,499370.9928,37479.85693359375,23206.007199999993
2025-04-05,728369.5,710755.099,32209.8779296875,17614.400999999954
2025-04-06,602126.5,592865.547,26205.6767578125,9260.95299999998
2025-04-07,526328.25,513478.8339,32145.6591796875,12849.416099999973
2025-04-08,410854.75,408229.9186,25271.76953125,2624.8314000000246
2025-04-09,543432.5,542411.9347,17453.0029296875,1020.5653000000166
2025-04-10,603003.5,594373.759,22992.64453125,8629.741000000038
2025-04-11,733214.25,730806.029,33427.126953125,2408.2210000000196
2025-04-12,587164.75,559051.5141,36642.7109375,28113.23589999997
2025-04-13,685264.75,692700.6175,30656.92041015625,-7435.867500000051
2025-04-14,505167.75,488365.2722,27613.48388671875,16802.477799999993
2025-04-15,742338.25,752961.331,22877.8349609375,-10623.081000000006
2025-04-16,509698.5,507359.5227,20351.68115234375,2338.9773000000278
2025-04-17,533495.25,540811.015,19325.2236328125,-7315.765000000014
2025-04-18,317257.0,334180.3798,23912.59228515625,-16923.379799999995
2025-04-19,385604.25,364016.5379,28971.01904296875,21587.712100000004
2025-04-20,430604.5,427115.3772,25832.5673828125,3489.122800000012
2025-04-21,315354.25,321199.1326,6840.982666015625,-5844.882600000012
2025-04-22,321369.0,327195.98955,12848.367431640625,-5826.989549999998
2025-04-23,401173.25,402696.21211,11155.398742675781,-1522.9621100000222
2025-04-24,385114.0,389504.376,11247.6220703125,-4390.375999999989
2025-04-25,339303.25,328610.4537,19534.6845703125,10692.796299999987
2025-04-26,617610.0,597539.589,22696.1650390625,20070.410999999964
2025-04-27,558767.25,565306.8953,15650.17822265625,-6539.645299999975
2025-04-28,478167.25,463142.2058,37779.182861328125,15025.044200000004
