Trade_ID,Entry_Time,Exit_Time,Entry_Price,Exit_Price,PnL,Holding_Hours,Strategy_ID
113,2023-08-07 03:00:00,2023-08-07 06:00:00,7.01,66.32,59.309999999999995,3.0,1
114,2023-08-10 13:00:00,2023-08-10 18:00:00,39.07,102.88,63.809999999999995,5.0,1
115,2023-08-11 12:00:00,2023-08-11 18:00:00,41.42,112.78,71.36,6.0,1
116,2023-08-12 13:00:00,2023-08-12 18:00:00,24.51,92.54,68.03,5.0,1
117,2023-08-13 11:00:00,2023-08-13 17:00:00,14.13,72.66,58.529999999999994,6.0,1
118,2023-08-15 13:00:00,2023-08-15 18:00:00,30.98,108.67,77.69,5.0,1
119,2023-08-19 11:00:00,2023-08-19 17:00:00,41.83,100.45,58.620000000000005,6.0,1
120,2023-08-20 12:00:00,2023-08-20 17:00:00,19.23,95.1,75.86999999999999,5.0,1
121,2023-08-26 12:00:00,2023-08-26 18:00:00,69.91,103.76,33.85000000000001,6.0,1
122,2023-09-02 12:00:00,2023-09-02 18:00:00,76.0,110.0,34.0,6.0,1
123,2023-09-03 10:00:00,2023-09-03 17:00:00,60.3,94.43,34.13000000000001,7.0,1
124,2023-09-09 12:00:00,2023-09-09 18:00:00,20.52,121.3,100.78,6.0,1
125,2023-09-10 11:00:00,2023-09-10 17:00:00,18.0,100.24,82.24,6.0,1
126,2023-09-16 12:00:00,2023-09-16 17:00:00,54.48,108.16,53.68,5.0,1
127,2023-09-17 11:00:00,2023-09-17 17:00:00,39.81,108.76,68.95,6.0,1
128,2023-09-18 13:00:00,2023-09-18 17:00:00,30.44,116.01,85.57000000000001,4.0,1
129,2023-09-19 00:00:00,2023-09-19 07:00:00,1.01,104.27,103.25999999999999,7.0,1
130,2023-09-23 14:00:00,2023-09-23 17:00:00,53.09,102.02,48.92999999999999,3.0,1
131,2023-09-24 10:00:00,2023-09-24 17:00:00,1.06,98.03,96.97,7.0,1
132,2023-09-30 11:00:00,2023-09-30 17:00:00,70.53,107.7,37.17,6.0,1
133,2023-10-01 11:00:00,2023-10-01 17:00:00,8.99,99.51,90.52000000000001,6.0,1
134,2023-10-03 03:00:00,2023-10-03 19:00:00,30.64,60.0,29.36,16.0,1
135,2023-10-06 12:00:00,2023-10-06 18:00:00,10.05,104.3,94.25,6.0,1
136,2023-10-06 23:00:00,2023-10-07 06:00:00,0.52,52.44,51.919999999999995,7.0,1
137,2023-10-11 01:00:00,2023-10-11 07:00:00,26.06,127.16,101.1,6.0,1
138,2023-10-11 11:00:00,2023-10-11 17:00:00,1.05,102.23,101.18,6.0,1
139,2023-10-13 11:00:00,2023-10-14 09:00:00,72.02,20.6,-51.419999999999995,22.0,1
140,2023-10-18 12:00:00,2023-10-18 16:00:00,70.09,115.16,45.06999999999999,4.0,1
141,2023-10-18 23:00:00,2023-10-19 06:00:00,47.48,88.07,40.589999999999996,7.0,1
142,2023-10-20 03:00:00,2023-10-20 07:00:00,35.27,108.12,72.85,4.0,1
143,2023-10-21 01:00:00,2023-10-21 16:00:00,37.27,84.35,47.07999999999999,15.0,1
144,2023-10-25 03:00:00,2023-10-25 06:00:00,86.06,125.5,39.44,3.0,1
145,2023-10-26 02:00:00,2023-10-26 07:00:00,87.49,133.66,46.17,5.0,1
146,2023-10-28 00:00:00,2023-10-28 16:00:00,84.6,112.02,27.42,16.0,1
147,2023-10-29 00:00:00,2023-10-29 15:00:00,14.05,40.03,25.98,15.0,1
148,2023-11-01 21:00:00,2023-11-02 06:00:00,39.51,69.57,30.059999999999995,9.0,1
149,2023-11-03 00:00:00,2023-11-03 06:00:00,15.17,61.58,46.41,6.0,1
150,2023-11-04 04:00:00,2023-11-04 15:00:00,19.19,42.69,23.499999999999996,11.0,1
151,2023-11-10 00:00:00,2023-11-10 07:00:00,64.1,106.66,42.56,7.0,1
152,2023-11-13 21:00:00,2023-11-14 07:00:00,61.36,76.91,15.549999999999997,10.0,1
153,2023-11-16 03:00:00,2023-11-16 07:00:00,74.06,126.9,52.84,4.0,1
154,2023-11-18 02:00:00,2023-11-18 17:00:00,90.61,105.07,14.459999999999994,15.0,1
155,2023-11-18 21:00:00,2023-11-19 15:00:00,77.98,67.31,-10.670000000000002,18.0,1
156,2023-11-22 03:00:00,2023-11-22 07:00:00,92.0,140.73,48.72999999999999,4.0,1
157,2023-11-22 23:00:00,2023-11-23 07:00:00,74.79,113.96,39.16999999999999,8.0,1
158,2023-11-23 21:00:00,2023-11-24 06:00:00,28.18,70.53,42.35,9.0,1
159,2023-11-28 00:00:00,2023-11-28 07:00:00,77.74,116.42,38.68000000000001,7.0,1
160,2023-12-03 04:00:00,2023-12-03 15:00:00,94.62,115.0,20.379999999999995,11.0,1
161,2023-12-05 02:00:00,2023-12-05 07:00:00,85.73,114.32,28.58999999999999,5.0,1
162,2023-12-09 02:00:00,2023-12-10 02:00:00,79.49,13.21,-66.28,24.0,1
163,2023-12-10 03:00:00,2023-12-10 08:00:00,5.99,60.86,54.87,5.0,1
164,2023-12-11 02:00:00,2023-12-11 06:00:00,12.72,74.59,61.870000000000005,4.0,1
165,2023-12-13 01:00:00,2023-12-13 07:00:00,72.96,102.41,29.450000000000003,6.0,1
166,2023-12-15 03:00:00,2023-12-15 08:00:00,76.55,121.5,44.95,5.0,1
167,2023-12-16 00:00:00,2023-12-16 09:00:00,67.2,83.66,16.459999999999994,9.0,1
168,2023-12-16 23:00:00,2023-12-17 15:00:00,53.12,56.74,3.6200000000000045,16.0,1
169,2023-12-19 00:00:00,2023-12-19 06:00:00,47.29,79.69,32.4,6.0,1
170,2023-12-20 01:00:00,2023-12-20 08:00:00,50.48,72.93,22.45000000000001,7.0,1
171,2023-12-21 00:00:00,2023-12-21 17:00:00,30.16,35.08,4.919999999999998,17.0,1
172,2023-12-22 00:00:00,2023-12-22 07:00:00,0.01,31.68,31.669999999999998,7.0,1
173,2023-12-25 01:00:00,2023-12-25 07:00:00,-10.12,-5.48,4.639999999999999,6.0,1
174,2023-12-27 21:00:00,2023-12-28 16:00:00,24.74,40.34,15.600000000000005,19.0,1
