Datetime,Price,Temperature,Humidity,WindSpeed,Rain,Volatility_24h,Spike_Flag,Negative_Price,Position,PnL,Cumulative_PnL
2023-06-08 18:00:00,90.46,19.7,64.0,9.0,0.0,22.25865319033828,0,0,0,0.0,3514.069999999995
2023-06-08 19:00:00,102.03,18.6,80.0,8.3,0.0,19.839260355396434,0,0,0,0.0,3514.069999999995
2023-06-08 20:00:00,113.84,17.8,75.0,6.8,0.0,16.244060854460212,0,0,0,0.0,3514.069999999995
2023-06-08 21:00:00,105.0,16.0,86.0,6.1,0.0,14.268594574207933,0,0,0,-0.0,3514.069999999995
2023-06-08 22:00:00,96.58,15.8,87.0,5.4,0.0,13.801243951230509,0,0,0,-0.0,3514.069999999995
2023-06-08 23:00:00,91.0,17.5,81.0,2.9,0.0,13.698259482950602,0,0,0,-0.0,3514.069999999995
2023-06-09 00:00:00,95.0,14.9,92.0,3.6,0.0,13.731924482749216,0,0,0,0.0,3514.069999999995
2023-06-09 01:00:00,89.7,14.7,85.0,4.7,0.0,13.738760755664122,0,0,0,-0.0,3514.069999999995
2023-06-09 02:00:00,79.73,15.6,81.0,6.8,0.0,13.771475712392942,0,0,0,-0.0,3514.069999999995
2023-06-09 03:00:00,76.0,15.8,77.0,5.8,0.0,13.850196193605937,0,0,0,-0.0,3514.069999999995
2023-06-09 04:00:00,76.27,15.5,80.0,5.0,0.0,13.940561089073416,0,0,0,0.0,3514.069999999995
2023-06-09 05:00:00,89.06,17.0,73.0,6.1,0.0,13.949640767279952,0,0,0,0.0,3514.069999999995
2023-06-09 06:00:00,103.74,18.3,67.0,10.8,0.0,14.385785046808211,0,0,0,0.0,3514.069999999995
2023-06-09 07:00:00,103.97,20.1,61.0,13.3,0.0,14.829536405428442,0,0,0,0.0,3514.069999999995
2023-06-09 08:00:00,103.94,22.5,52.0,12.6,0.0,15.281886123060492,0,0,0,-0.0,3514.069999999995
2023-06-09 09:00:00,91.39,23.8,46.0,12.2,0.0,15.324834768712321,0,0,0,-0.0,3514.069999999995
2023-06-09 10:00:00,82.26,25.9,42.0,10.4,0.0,15.162573482142724,0,0,0,-0.0,3514.069999999995
2023-06-09 11:00:00,75.43,26.5,39.0,13.3,0.0,14.876628494462295,0,0,0,-0.0,3514.069999999995
2023-06-09 12:00:00,70.03,28.0,36.0,13.0,0.0,14.54418723846283,0,0,0,-0.0,3514.069999999995
2023-06-09 13:00:00,65.0,28.5,32.0,13.7,0.0,14.466966213168964,0,0,0,-0.0,3514.069999999995
