Date,Daily_PnL,Cumulative_PnL,Running_Peak,Drawdown,Rolling_Volatility,Rolling_Mean,Rolling_Sharpe,VaR95,Month
2023-03-09,0.0,776.3100000000001,776.3100000000001,0.0,19.073540525055105,6.893666666666666,5.73745422799197,0.0,2023-03
2023-03-10,58.72999999999999,835.0400000000001,835.0400000000001,0.0,21.23327540366337,8.851333333333335,6.617469888973233,0.0,2023-03
2023-03-11,41.24,876.2800000000001,876.2800000000001,0.0,21.962896549125436,10.226,7.391225336721042,0.0,2023-03
2023-03-12,31.950000000000003,908.2300000000001,908.2300000000001,0.0,22.31772423047623,10.893,7.748147275358175,0.0,2023-03
2023-03-13,83.01999999999998,991.2500000000001,991.2500000000001,0.0,25.796448764327508,13.660333333333334,8.406237266943016,0.0,2023-03
2023-03-14,0.0,991.2500000000001,991.2500000000001,0.0,25.796448764327508,13.660333333333334,8.406237266943016,0.0,2023-03
2023-03-15,0.0,991.2500000000001,991.2500000000001,0.0,25.796448764327508,13.660333333333334,8.406237266943016,0.0,2023-03
2023-03-16,0.0,991.2500000000001,991.2500000000001,0.0,25.796448764327508,13.660333333333334,8.406237266943016,0.0,2023-03
2023-03-17,56.61999999999999,1047.8700000000001,1047.8700000000001,0.0,26.813734088096083,15.547666666666666,9.204669368058774,0.0,2023-03
2023-03-18,24.010000000000005,1071.88,1071.88,0.0,26.69171308826405,16.348,9.722735057938603,0.0,2023-03
2023-03-19,0.0,1071.88,1071.88,0.0,26.643927293272565,15.222666666666667,9.06969678634468,0.0,2023-03
2023-03-20,0.0,1071.88,1071.88,0.0,26.643927293272565,15.222666666666667,9.06969678634468,0.0,2023-03
2023-03-21,0.0,1071.88,1071.88,0.0,26.643927293272565,15.222666666666667,9.06969678634468,0.0,2023-03
2023-03-22,74.22,1146.1000000000001,1146.1000000000001,0.0,28.740471756420575,17.159333333333333,9.477783603921296,0.0,2023-03
2023-03-23,0.0,1146.1000000000001,1146.1000000000001,0.0,28.740471756420575,17.159333333333333,9.477783603921296,0.0,2023-03
2023-03-24,68.06,1214.16,1214.16,0.0,29.99796342512558,19.428,10.281029230466372,0.0,2023-03
2023-03-25,0.0,1214.16,1214.16,0.0,29.99796342512558,19.428,10.281029230466372,0.0,2023-03
2023-03-26,0.0,1214.16,1214.16,0.0,28.654256727765407,17.113,9.48063164570786,0.0,2023-03
2023-03-27,53.21,1267.3700000000001,1267.3700000000001,0.0,29.200075736006326,18.886666666666663,10.267663045823491,0.0,2023-03
2023-03-28,0.0,1267.3700000000001,1267.3700000000001,0.0,27.391730818649975,16.39,9.498603270186313,0.0,2023-03
2023-03-29,0.0,1267.3700000000001,1267.3700000000001,0.0,27.391730818649975,16.39,9.498603270186313,0.0,2023-03
2023-03-30,69.84,1337.21,1337.21,0.0,28.878212453037293,18.718,10.2893847299676,0.0,2023-03
2023-03-31,0.0,1337.21,1337.21,0.0,28.878212453037293,18.718,10.2893847299676,0.0,2023-03
2023-04-01,31.05,1368.26,1368.26,0.0,28.74031256878957,19.753,10.910429492867532,0.0,2023-04
2023-04-02,74.34,1442.6,1442.6,0.0,30.14877276052073,22.230999999999998,11.70549087290829,0.0,2023-04
2023-04-03,0.0,1442.6,1442.6,0.0,30.14877276052073,22.230999999999998,11.70549087290829,0.0,2023-04
2023-04-04,0.0,1442.6,1442.6,0.0,30.14877276052073,22.230999999999998,11.70549087290829,0.0,2023-04
2023-04-05,0.0,1442.6,1442.6,0.0,30.164799591043458,22.209666666666667,11.688044773701387,0.0,2023-04
2023-04-06,0.0,1442.6,1442.6,0.0,30.164799591043458,22.209666666666667,11.688044773701387,0.0,2023-04
2023-04-07,0.0,1442.6,1442.6,0.0,30.164799591043458,22.209666666666667,11.688044773701387,0.0,2023-04
2023-04-08,26.540000000000006,1469.1399999999999,1469.1399999999999,0.0,29.87880250604769,23.094333333333335,12.269942080000405,0.0,2023-04
2023-04-09,28.200000000000003,1497.34,1497.34,0.0,29.1338410092803,22.076666666666664,12.02918003678201,0.0,2023-04
2023-04-10,43.470000000000006,1540.81,1540.81,0.0,29.187217129988653,22.151,12.047610506417854,0.0,2023-04
2023-04-11,0.0,1540.81,1540.81,0.0,29.399469453341002,21.086000000000002,11.385575287400588,0.0,2023-04
