Country,ISO3,Date,Metric,Unit,Value
Belgium,BEL,2015-10-01,Wind,%,3.99
Belgium,BEL,2015-10-01,Bioenergy,TWh,0.2
Belgium,BEL,2015-10-01,Coal,TWh,0.28
Belgium,BEL,2015-10-01,Gas,TWh,1.97
Belgium,BEL,2015-10-01,Hydro,TWh,0.0
Belgium,BEL,2015-10-01,Nuclear,TWh,2.05
Belgium,BEL,2015-10-01,Solar,TWh,0.16
Belgium,BEL,2015-10-01,Wind,TWh,0.22
Belgium,BEL,2015-10-01,Total Generation,TWh,5.51
Belgium,BEL,2015-10-01,Net Imports,TWh,1.86
Belgium,BEL,2015-10-01,Bioenergy,mtCO2,0.05
Belgium,BEL,2015-10-01,Coal,mtCO2,0.29
Belgium,BEL,2015-10-01,Gas,mtCO2,0.83
Belgium,BEL,2015-10-01,Hydro,mtCO2,0.0
Belgium,BEL,2015-10-01,Nuclear,mtCO2,0.01
Belgium,BEL,2015-10-01,Solar,mtCO2,0.01
Belgium,BEL,2015-10-01,Wind,mtCO2,0.0
Belgium,BEL,2015-11-01,Demand,TWh,7.3
Belgium,BEL,2015-11-01,Bioenergy,%,3.11
Belgium,BEL,2015-11-01,Coal,%,3.77
Belgium,BEL,2015-11-01,Gas,%,35.41
Belgium,BEL,2015-11-01,Hydro,%,0.16
Belgium,BEL,2015-11-01,Nuclear,%,35.74
Belgium,BEL,2015-11-01,Solar,%,1.31
Belgium,BEL,2015-11-01,Wind,%,10.82
Belgium,BEL,2015-11-01,Bioenergy,TWh,0.19
Belgium,BEL,2015-11-01,Coal,TWh,0.23
Belgium,BEL,2015-11-01,Gas,TWh,2.16
Belgium,BEL,2015-11-01,Hydro,TWh,0.01
Belgium,BEL,2015-11-01,Nuclear,TWh,2.18
Belgium,BEL,2015-11-01,Solar,TWh,0.08
Belgium,BEL,2015-11-01,Wind,TWh,0.66
Belgium,BEL,2015-11-01,Total Generation,TWh,6.1
Belgium,BEL,2015-11-01,Net Imports,TWh,1.2
Belgium,BEL,2015-11-01,Bioenergy,mtCO2,0.04
Belgium,BEL,2015-11-01,Coal,mtCO2,0.24
Belgium,BEL,2015-11-01,Gas,mtCO2,0.91
Belgium,BEL,2015-11-01,Hydro,mtCO2,0.0
Belgium,BEL,2015-11-01,Nuclear,mtCO2,0.01
Belgium,BEL,2015-11-01,Solar,mtCO2,0.0
Belgium,BEL,2015-11-01,Wind,mtCO2,0.01
Belgium,BEL,2015-12-01,Demand,TWh,7.45
Belgium,BEL,2015-12-01,Bioenergy,%,3.64
Belgium,BEL,2015-12-01,Coal,%,2.69
Belgium,BEL,2015-12-01,Gas,%,30.06
Belgium,BEL,2015-12-01,Hydro,%,0.32
Belgium,BEL,2015-12-01,Nuclear,%,40.98
Belgium,BEL,2015-12-01,Solar,%,1.11
Belgium,BEL,2015-12-01,Wind,%,11.87
Belgium,BEL,2015-12-01,Bioenergy,TWh,0.23
Belgium,BEL,2015-12-01,Coal,TWh,0.17
Belgium,BEL,2015-12-01,Gas,TWh,1.9
Belgium,BEL,2015-12-01,Hydro,TWh,0.02
Belgium,BEL,2015-12-01,Nuclear,TWh,2.59
Belgium,BEL,2015-12-01,Solar,TWh,0.07
Belgium,BEL,2015-12-01,Wind,TWh,0.75
Belgium,BEL,2015-12-01,Total Generation,TWh,6.32
Belgium,BEL,2015-12-01,Net Imports,TWh,1.13
Belgium,BEL,2015-12-01,Bioenergy,mtCO2,0.05
Belgium,BEL,2015-12-01,Coal,mtCO2,0.17
Belgium,BEL,2015-12-01,Gas,mtCO2,0.8
Belgium,BEL,2015-12-01,Hydro,mtCO2,0.0
Belgium,BEL,2015-12-01,Nuclear,mtCO2,0.01
Belgium,BEL,2015-12-01,Solar,mtCO2,0.0
Belgium,BEL,2015-12-01,Wind,mtCO2,0.01
Belgium,BEL,2016-01-01,Demand,TWh,7.91
Belgium,BEL,2016-01-01,Bioenergy,%,3.03
Belgium,BEL,2016-01-01,Coal,%,2.15
Belgium,BEL,2016-01-01,Gas,%,23.51
Belgium,BEL,2016-01-01,Hydro,%,0.38
Belgium,BEL,2016-01-01,Nuclear,%,53.6
Belgium,BEL,2016-01-01,Solar,%,0.88
Belgium,BEL,2016-01-01,Wind,%,8.47
Belgium,BEL,2016-01-01,Bioenergy,TWh,0.24
Belgium,BEL,2016-01-01,Coal,TWh,0.17
Belgium,BEL,2016-01-01,Gas,TWh,1.86
Belgium,BEL,2016-01-01,Hydro,TWh,0.03
Belgium,BEL,2016-01-01,Nuclear,TWh,4.24
Belgium,BEL,2016-01-01,Solar,TWh,0.07
Belgium,BEL,2016-01-01,Wind,TWh,0.67
Belgium,BEL,2016-01-01,Total Generation,TWh,7.91
Belgium,BEL,2016-01-01,Net Imports,TWh,0.0
Belgium,BEL,2016-01-01,Bioenergy,mtCO2,0.06
Belgium,BEL,2016-01-01,Coal,mtCO2,0.17
Belgium,BEL,2016-01-01,Gas,mtCO2,0.78
Belgium,BEL,2016-01-01,Hydro,mtCO2,0.0
Belgium,BEL,2016-01-01,Nuclear,mtCO2,0.02
Belgium,BEL,2016-01-01,Solar,mtCO2,0.0
Belgium,BEL,2016-01-01,Wind,mtCO2,0.01
Belgium,BEL,2016-02-01,Demand,TWh,7.46
Belgium,BEL,2016-02-01,Bioenergy,%,3.12
Belgium,BEL,2016-02-01,Coal,%,0.71
Belgium,BEL,2016-02-01,Gas,%,21.84
Belgium,BEL,2016-02-01,Hydro,%,0.28
Belgium,BEL,2016-02-01,Nuclear,%,55.6
Belgium,BEL,2016-02-01,Solar,%,1.84
Belgium,BEL,2016-02-01,Wind,%,7.94
Belgium,BEL,2016-02-01,Bioenergy,TWh,0.22
Belgium,BEL,2016-02-01,Coal,TWh,0.05
Belgium,BEL,2016-02-01,Gas,TWh,1.54
Belgium,BEL,2016-02-01,Hydro,TWh,0.02
Belgium,BEL,2016-02-01,Nuclear,TWh,3.92
Belgium,BEL,2016-02-01,Solar,TWh,0.13
Belgium,BEL,2016-02-01,Wind,TWh,0.56
Belgium,BEL,2016-02-01,Total Generation,TWh,7.05
Belgium,BEL,2016-02-01,Net Imports,TWh,0.41
Belgium,BEL,2016-02-01,Bioenergy,mtCO2,0.05
Belgium,BEL,2016-02-01,Coal,mtCO2,0.05
Belgium,BEL,2016-02-01,Gas,mtCO2,0.65
Belgium,BEL,2016-02-01,Hydro,mtCO2,0.0
Belgium,BEL,2016-02-01,Nuclear,mtCO2,0.02
Belgium,BEL,2016-02-01,Solar,mtCO2,0.01
Belgium,BEL,2016-02-01,Wind,mtCO2,0.01
Belgium,BEL,2016-03-01,Demand,TWh,7.64
Belgium,BEL,2016-03-01,Bioenergy,%,2.97
Belgium,BEL,2016-03-01,Coal,%,1.48
Belgium,BEL,2016-03-01,Gas,%,22.94
Belgium,BEL,2016-03-01,Hydro,%,0.4
Belgium,BEL,2016-03-01,Nuclear,%,54.93
Belgium,BEL,2016-03-01,Solar,%,3.24
Belgium,BEL,2016-03-01,Wind,%,5.94
Belgium,BEL,2016-03-01,Bioenergy,TWh,0.22
Belgium,BEL,2016-03-01,Coal,TWh,0.11
Belgium,BEL,2016-03-01,Gas,TWh,1.7
Belgium,BEL,2016-03-01,Hydro,TWh,0.03
Belgium,BEL,2016-03-01,Nuclear,TWh,4.07
Belgium,BEL,2016-03-01,Solar,TWh,0.24
Belgium,BEL,2016-03-01,Wind,TWh,0.44
Belgium,BEL,2016-03-01,Total Generation,TWh,7.41
Belgium,BEL,2016-03-01,Net Imports,TWh,0.23
Belgium,BEL,2016-03-01,Bioenergy,mtCO2,0.05
Belgium,BEL,2016-03-01,Coal,mtCO2,0.11
Belgium,BEL,2016-03-01,Gas,mtCO2,0.72
Belgium,BEL,2016-03-01,Hydro,mtCO2,0.0
Belgium,BEL,2016-03-01,Nuclear,mtCO2,0.02
Belgium,BEL,2016-03-01,Solar,mtCO2,0.01
Belgium,BEL,2016-03-01,Wind,mtCO2,0.01
Belgium,BEL,2016-04-01,Demand,TWh,7.08
Belgium,BEL,2016-04-01,Bioenergy,%,2.85
Belgium,BEL,2016-04-01,Coal,%,0.0
Belgium,BEL,2016-04-01,Gas,%,21.17
Belgium,BEL,2016-04-01,Hydro,%,0.45
Belgium,BEL,2016-04-01,Nuclear,%,56.46
Belgium,BEL,2016-04-01,Solar,%,4.95
Belgium,BEL,2016-04-01,Wind,%,5.71
Belgium,BEL,2016-04-01,Bioenergy,TWh,0.19
Belgium,BEL,2016-04-01,Coal,TWh,0.0
Belgium,BEL,2016-04-01,Gas,TWh,1.41
Belgium,BEL,2016-04-01,Hydro,TWh,0.03
Belgium,BEL,2016-04-01,Nuclear,TWh,3.76
Belgium,BEL,2016-04-01,Solar,TWh,0.33
Belgium,BEL,2016-04-01,Wind,TWh,0.38
Belgium,BEL,2016-04-01,Total Generation,TWh,6.66
Belgium,BEL,2016-04-01,Net Imports,TWh,0.42
Belgium,BEL,2016-04-01,Bioenergy,mtCO2,0.04
Belgium,BEL,2016-04-01,Coal,mtCO2,0.0
Belgium,BEL,2016-04-01,Gas,mtCO2,0.59
