Date,AAPL,AMZN,BAC,COST,CVX,DIS,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NKE,NVDA,PEP,PFE,SPY,TSLA,UNH,V,WMT,XOM
2022-02-28,161.63311767578125,153.56300354003906,39.496063232421875,494.40692138671875,121.50860595703125,143.9413604736328,133.86996459960938,281.4485778808594,145.70005798339844,126.6337661743164,54.50709915161133,351.2070617675781,209.19293212890625,288.4175109863281,126.14212036132812,24.308204650878906,141.671142578125,37.26063537597656,410.83355712890625,290.1433410644531,438.8567810058594,209.1790771484375,42.594032287597656,67.87271881103516
2022-03-01,159.75363159179688,151.14199829101562,37.950172424316406,497.91082763671875,126.33517456054688,141.26536560058594,132.88319396972656,285.38751220703125,145.19541931152344,121.85595703125,54.270652770996094,335.302490234375,201.7185821533203,284.71087646484375,122.14215850830078,23.40306854248047,140.39926147460938,36.31601333618164,404.576416015625,288.1233215332031,439.2071838378906,202.2587127685547,42.855594635009766,68.52183532714844
2022-03-02,163.04270935058594,152.05250549316406,38.566741943359375,502.73834228515625,130.06483459472656,142.85543823242188,133.38870239257812,291.73236083984375,147.00149536132812,124.3832778930664,54.673492431640625,334.9227294921875,206.29837036132812,289.76885986328125,125.33845520019531,24.14784049987793,142.3460693359375,37.86390686035156,412.01910400390625,293.2966613769531,447.6269836425781,201.784423828125,42.90916061401367,69.69892120361328
2022-03-03,162.7196502685547,147.89849853515625,38.1536865234375,507.54669189453125,131.81993103027344,141.1393280029297,132.72262573242188,289.050048828125,149.16171264648438,123.49916076660156,54.708526611328125,331.9053955078125,201.20310974121094,285.6471252441406,123.75875854492188,23.643348693847656,142.19361877441406,37.967105865478516,409.9678039550781,279.7633361816406,448.7429504394531,200.5745391845703,43.89555358886719,70.14032745361328
2022-03-04,159.72430419921875,145.64100646972656,36.77085494995117,500.35797119140625,133.87042236328125,136.43692016601562,130.7471466064453,288.9609375,150.04705810546875,120.02523040771484,54.79610061645508,321.94793701171875,198.31845092773438,279.7974548339844,121.45791625976562,22.867666244506836,144.35345458984375,38.61802291870117,406.63702392578125,279.42999267578125,459.8648681640625,193.857421875,45.00797653198242,72.78010559082031
2022-03-07,155.9359893798828,137.4530029296875,34.42721939086914,503.23345947265625,136.73092651367188,129.4366912841797,125.2677230834961,287.63311767578125,152.4640350341797,115.39031219482422,53.491233825683594,304.583251953125,185.8380584716797,269.2275695800781,115.21746063232422,21.28838539123535,141.47947692871094,38.08617401123047,394.6496276855469,268.1933288574219,449.0011291503906,184.575439453125,44.64557647705078,75.40258026123047
2022-03-08,154.11526489257812,136.01449584960938,34.651695251464844,498.3202819824219,143.89488220214844,127.73994445800781,125.98733520507812,282.2595520019531,149.3742218017578,114.5776596069336,51.371891021728516,305.9555969238281,188.6334991455078,266.2738342285156,112.22685241699219,21.449899673461914,137.4906463623047,37.65752029418945,391.6575927734375,274.79998779296875,436.6341552734375,185.5530548095703,43.722225189208984,75.97382354736328
2022-03-09,159.5089111328125,139.2790069580078,36.851661682128906,502.4050598144531,140.3002471923828,129.5821075439453,132.24732971191406,284.3753356933594,149.94082641601562,119.16789245605469,51.634620666503906,319.3879699707031,196.7720184326172,278.48468017578125,117.54144287109375,22.945430755615234,137.08135986328125,38.69740295410156,402.158203125,286.3233337402344,447.80230712890625,193.34451293945312,43.949119567871094,71.65497589111328
2022-03-10,155.17245483398438,146.8175048828125,36.51942825317383,507.2323913574219,144.1395721435547,129.5724334716797,131.26553344726562,285.0387878417969,150.2064208984375,117.75689697265625,50.68880844116211,315.9422912597656,193.5106658935547,275.6756591796875,116.68962097167969,22.590496063232422,134.56443786621094,39.054603576660156,400.3422546386719,279.4333190917969,453.2156677246094,191.61196899414062,44.9481086730957,73.87930297851562
2022-03-11,151.4625244140625,145.52450561523438,36.21413040161133,502.18603515625,144.2070770263672,127.73994445800781,128.72901916503906,284.00775146484375,149.93197631835938,115.10456085205078,50.72383117675781,316.1369934082031,185.9768524169922,270.3473205566406,113.5416030883789,22.03415870666504,133.88510131835938,39.90396499633789,395.25189208984375,265.1166687011719,446.6299743652344,190.39247131347656,44.77162551879883,73.49847412109375
