timestamp,country,price_eur_mwh,resolution
2020-01-11 23:00:00+00:00,france,25.26,PT60M
2020-01-12 00:00:00+00:00,france,23.53,PT60M
2020-01-12 02:00:00+00:00,france,20.65,PT60M
2020-01-12 03:00:00+00:00,france,20.57,PT60M
2020-01-12 04:00:00+00:00,france,21.04,PT60M
2020-01-12 05:00:00+00:00,france,20.64,PT60M
2020-01-12 06:00:00+00:00,france,29.6,PT60M
2020-01-12 07:00:00+00:00,france,28.8,PT60M
2020-01-12 10:00:00+00:00,france,28.93,PT60M
2020-01-12 12:00:00+00:00,france,26.72,PT60M
2020-01-12 13:00:00+00:00,france,24.31,PT60M
2020-01-12 14:00:00+00:00,france,25.33,PT60M
2020-01-12 15:00:00+00:00,france,27.36,PT60M
2020-01-12 16:00:00+00:00,france,33.73,PT60M
2020-01-12 17:00:00+00:00,france,38.91,PT60M
2020-01-12 18:00:00+00:00,france,40.87,PT60M
2020-01-12 19:00:00+00:00,france,38.11,PT60M
2020-01-12 20:00:00+00:00,france,30.38,PT60M
2020-01-12 21:00:00+00:00,france,35.17,PT60M
2020-01-12 22:00:00+00:00,france,37.81,PT60M
2020-01-12 23:00:00+00:00,france,30.22,PT60M
2020-01-13 00:00:00+00:00,france,26.98,PT60M
2020-01-13 01:00:00+00:00,france,25.65,PT60M
2020-01-13 02:00:00+00:00,france,25.03,PT60M
2020-01-13 03:00:00+00:00,france,25.12,PT60M
2020-01-13 04:00:00+00:00,france,27.74,PT60M
2020-01-13 05:00:00+00:00,france,38.4,PT60M
2020-01-13 06:00:00+00:00,france,48.64,PT60M
2020-01-13 07:00:00+00:00,france,52.93,PT60M
2020-01-13 09:00:00+00:00,france,48.89,PT60M
2020-01-13 10:00:00+00:00,france,47.2,PT60M
2020-01-13 11:00:00+00:00,france,47.0,PT60M
2020-01-13 12:00:00+00:00,france,45.95,PT60M
2020-01-13 13:00:00+00:00,france,45.0,PT60M
2020-01-13 14:00:00+00:00,france,42.97,PT60M
2020-01-13 15:00:00+00:00,france,43.68,PT60M
2020-01-13 16:00:00+00:00,france,46.81,PT60M
2020-01-13 17:00:00+00:00,france,45.27,PT60M
2020-01-13 20:00:00+00:00,france,29.23,PT60M
2020-01-13 21:00:00+00:00,france,28.67,PT60M
2020-01-13 22:00:00+00:00,france,26.76,PT60M
2020-01-13 23:00:00+00:00,france,24.38,PT60M
2020-01-14 00:00:00+00:00,france,19.53,PT60M
2020-01-14 01:00:00+00:00,france,15.35,PT60M
2020-01-14 02:00:00+00:00,france,9.38,PT60M
2020-01-14 04:00:00+00:00,france,17.29,PT60M
2020-01-14 05:00:00+00:00,france,28.44,PT60M
2020-01-14 06:00:00+00:00,france,36.73,PT60M
2020-01-14 07:00:00+00:00,france,39.06,PT60M
2020-01-14 08:00:00+00:00,france,39.11,PT60M
2020-01-14 09:00:00+00:00,france,38.86,PT60M
2020-01-14 10:00:00+00:00,france,39.06,PT60M
2020-01-14 11:00:00+00:00,france,37.75,PT60M
2020-01-14 13:00:00+00:00,france,35.82,PT60M
2020-01-14 14:00:00+00:00,france,32.99,PT60M
2020-01-14 15:00:00+00:00,france,32.69,PT60M
2020-01-14 16:00:00+00:00,france,38.77,PT60M
2020-01-14 17:00:00+00:00,france,39.37,PT60M
2020-01-14 18:00:00+00:00,france,39.25,PT60M
2020-01-14 19:00:00+00:00,france,32.56,PT60M
2020-01-14 20:00:00+00:00,france,31.1,PT60M
2020-01-14 21:00:00+00:00,france,32.13,PT60M
2020-01-14 22:00:00+00:00,france,29.55,PT60M
2020-01-14 23:00:00+00:00,france,24.95,PT60M
2020-01-15 00:00:00+00:00,france,19.36,PT60M
