datetime,renewable_total_mwh,prediction_mwh,error_mwh,error_percent
2025-10-10,567249.52,574455.9,7206.354999999981,1.2704030141797178
2025-10-11,436059.18,441726.75,5667.570000000007,1.2997249593507025
2025-10-12,351689.88,361035.56,9345.682499999995,2.657364636139088
2025-10-13,188047.24000000002,188557.7,510.4631249999802,0.27145472860967285
2025-10-14,275994.7,285862.38,9867.674999999988,3.5753132215944685
2025-10-15,247782.28,253436.83,5654.548125000001,2.2820631584308617
2025-10-16,411058.25,416528.38,5470.125,1.3307420541979147
2025-10-17,415994.15,421890.53,5896.381249999977,1.417419271400806
2025-10-18,408593.3,399067.47,-9525.831249999988,-2.331372357304926
2025-10-19,700722.42,694541.6,-6180.795000000042,-0.8820604027483581
2025-10-20,808258.38,805830.1,-2428.2550000000047,-0.30043053806630554
2025-10-21,904180.5,901262.2,-2918.3125,-0.32275773476645425
2025-10-22,387866.87,396096.5,8229.630000000005,2.1217666773137918
2025-10-23,966560.93,951762.4,-14798.555000000051,-1.5310524707428481
2025-10-24,1194499.79,1.1536744e+06,-40825.41500000004,-3.4177833551565575
2025-10-25,1084137.31,1.0793115e+06,-4825.810000000056,-0.4451290399737332
2025-10-26,1167781.76,1.1423738e+06,-25408.01000000001,-2.175749859288777
2025-10-27,1040561.3400000001,1.0327081e+06,-7853.215000000084,-0.754709472485311
2025-10-28,1067620.08,1.0710744e+06,3454.2949999999255,0.32355095831467734
2025-10-29,801934.39,806269.94,4335.547499999986,0.5406361859602985
2025-10-30,908438.77,878216.75,-30222.02000000002,-3.3268086961986465
2025-10-31,568161.53,571568.0,3406.469999999972,0.5995601286134195
2025-11-01,738566.89,734043.8,-4523.077500000014,-0.6124127091589515
2025-11-02,442886.77,453790.84,10904.073749999981,2.4620454907695666
2025-11-03,764070.9,748271.2,-15799.712500000023,-2.0678332992396418
2025-11-04,729913.81,721698.6,-8215.185000000056,-1.1255006943902124
2025-11-05,628440.07,631613.5,3173.430000000051,0.5049693919103617
